RSK;Tubarões Marracho nep;Carcharhinus spp.
RTX;Granadeiros nep;Macrouridae
RUB;Xareu Azul;Caranx Crysos
SAA;Sardinela Lombuda;Sardinella Aurita
SAE;Sardinela Da Madeira;Sardinella Maderensis
SAI;Veleiro;Istiophorus Albicans
SAL;Salmão do Atlântico;Salmo salar
SAN;Galeotas Nep;Ammodytes Spp.
SAO;Bacalhau austral;Salilota australis
SAU;Agulhão;Scomberesox Saurus
SBA;Besugo;Pagellus Acarne
SBG;Dourada;Sparus Auratus
SBL;Tubarão Albafar;Hexanchus Griseus
SBP;Pargos Nep;Pagrus Spp.
SBP;Pargos Nep;Pagrus Spp.
SBR;Goraz;Pagellus Bogaraveo
SBS;Dobradiça;Oblada Melanura
SBZ;Sargo Veado;Diplodus Cervinus
SCE;Vieira;Pecten Maximus
SCK;Gata;Dalatias Licha
SCL;Pata Roxas Nep;Scyliorhinus Spp.
SCO;Cantarilhos nep;Scorpaenidae
SCR;Santola;Maja Squinado
SCS;Rascassos Nep;Scorpaena Spp.
SCU;Escorpioes Nep;Myoxocephalus Spp.
SCY;Cigarra;Scyllarus arctus
SDR;Lagarto Da Costa;Synodus Saurus
SDS;Cação Pintado;Mustelus Asterias
SDV;Cações nep;Mustelus spp.
SFS;Peixe Espada;Lepidopus Caudatus
SFS;Peixe Espada;Lepidopus Caudatus
SFS;Peixe Espada;Lepidopus caudatus
SHB;Tubarão Prego;Echinorhinus Brucus
SHL;Lixinhas Da Fundura Nep;Etmopterus Spp.
SHO;Leitao;Galeus Melanostomus
SHR;Sargo Bicudo;Diplodus Puntazzo
SHZ;Alosas nep;Alosa spp.
SIX;Sardinelas Nep;Sardinella Spp.
SKA;Raias Nep;Raja Spp.
SKB;Esgana Gatas Nep;Gasterosteus Spp.
SKH;Tubaroes Nep;Pleurotremata
SKJ;Gaiado;Katsuwonus Pelamis
SLM;Salema;Sarpa Salpa
SLO;Lagosta Castanha;Palinurus Elephas
SMA;Tubarao Anequim;Isurus Oxyrhinchus
SMD;Cação Liso;Mustelus Mustelus
SME;Eperlano Europeu;Osmerus Eperlanus
SNA;Lucianos Nep;Lutjanus Spp.
SNK;Senuca;Thyrsites Atun
SNS;Trombeteiro;Macrorhamphosus Scolopax
SOC;Salmão-vermelho;Oncorhynchus nerka
SOL;Linguado Legitimo;Solea solea
SOO;Linguados Nep;Solea Spp.
SOO;Linguado Ferrugento;Solea spp
SOO;Linguado do Rio;Solea spp
SOP;Camarão rosado do sul;Penaeus notialis
SOS;Linguado da Areia;Pegusa Lascaris
SPF;Espadim bicudo;Tetrapturus pfluegeri
SPN;Tubaroes Martelo Nep;Sphyrna Spp.
SPR;Espadilha;Sprattus Sprattus
SPU;Robalo Baila;Dicentrarchus Punctatus
SPZ;Cornuda;Sphyrna zygaena
SQA;Pota argentina;Illex argentinus
SQC;Lulas Nep;Loligo Spp.
SQF;Lula Riscada;Loligo Forbesi
SQI;Pota do norte;Illex illecebrosus
SQP;Lula da patagónia;Loligo gahi
SRG;Sargos Nep;Diplodus Spp.
SRQ;Lulas;Loligo vulgaris
SSA;Peixe Rei Verde;Menidia Menidia
SSB;Ferreira;Lithognathus Mormyrus
SSH;Carabineiro;Aristaeopsis Edwardsiana
SSM;Serra Espanhola;Scomberomorus Tritor
STB;Robalo Muge;Morone Saxatilis
STG;Corvinata Real;Cynoscion Regalis
STT;Uges Nep;Dasyatis spp.
